ApprovedDate,PooledFundName,FundType,Budget
10-2017,91,2,1843000.65
10-2017,18,2,497818.36
10-2018,105,2,1976694.46
10-2018,105,2,1499996.62
10-2018,105,2,799995.67
10-2018,105,2,1900000.0
10-2018,105,2,936102.34
10-2018,105,2,1499971.79
10-2018,105,2,1499926.27
10-2019,49,2,900000.54
10-2019,49,2,952478.89
10-2019,49,2,137000.01
10-2019,49,2,996753.15
10-2020,72,2,800000.0
10-2020,72,2,124876.22
10-2020,72,2,300204.04
10-2020,72,2,449962.01
10-2020,72,2,1899999.89
10-2020,108,2,369471.0
10-2020,108,2,529306.2
10-2020,108,2,554533.96
10-2020,108,2,697643.03
10-2020,108,2,509491.53
10-2022,91,2,2786131.22
10-2022,91,2,1078245.9
10-2022,91,2,699983.3
10-2022,91,2,311572.42
10-2022,91,2,250000.45
10-2022,91,2,250000.0
11-2012,87,2,225102.0
11-2015,1,2,165951.66
11-2016,67,2,99714.42
11-2017,73,2,404460.0
11-2017,51,2,399927.17
11-2017,108,2,1249998.61
11-2018,108,2,606597.99
11-2018,108,2,253940.3
11-2018,108,2,347430.07
11-2018,108,2,197860.93
11-2018,108,2,309318.19
11-2018,108,2,400016.16
11-2019,72,2,196220.85
11-2019,108,2,563470.67
11-2019,108,2,999031.39
11-2019,108,2,295350.35
11-2019,108,2,341695.47
11-2019,108,2,1000000.0
11-2021,18,2,757653.89
11-2021,18,2,498749.99
11-2021,36,2,598876.07
11-2022,87,2,647967.93
11-2022,87,2,424982.4
11-2022,87,2,629822.33
11-2022,87,2,240639.47
11-2022,87,2,248052.36
11-2022,72,2,192548.0
11-2022,72,2,100000.06
11-2022,72,2,100075.73
11-2022,72,2,150000.0
11-2022,72,2,200000.0
11-2022,72,2,195000.0
12-2017,108,2,499994.95
12-2017,91,2,475087.49
12-2017,87,2,129999.65
12-2017,80,2,160000.0
12-2017,87,2,100090.41
12-2017,36,2,2524027.87
12-2017,36,2,488971.42
12-2018,22,2,119645.62
12-2018,91,2,1499533.65
12-2018,91,2,600867.39
12-2021,98,2,482716.57
12-2021,105,2,478814.3
12-2021,36,2,1999999.71
12-2021,36,2,1074112.36
12-2021,36,2,497323.44
12-2021,36,2,446661.88
12-2021,80,2,522844.12
12-2021,80,2,500000.3
12-2021,73,2,308258.96
12-2021,67,2,122500.0
12-2021,67,2,828464.58
12-2021,67,2,326635.5
12-2021,67,2,212152.55
12-2022,1,2,278936.31
12-2022,72,2,200008.56
12-2022,72,2,150019.89
12-2022,72,2,150000.0
12-2022,72,2,149999.99
12-2022,72,2,750000.0
12-2022,72,2,450000.0
12-2022,72,2,200000.0
12-2022,72,2,560000.19
12-2022,1,2,249455.1
12-2022,1,2,367547.14
12-2022,1,2,149974.62
12-2022,1,2,614810.87
,73,2,249570.36
,88,2,891328.19
,88,2,2278066.19
,88,2,895042.39
,80,2,597500.28
,72,2,149168.83
,108,2,603056.22
,108,2,1092789.93
,108,2,735162.78
,105,2,1480000.0
,105,2,465063.09
,105,2,500090.72
,105,2,1998629.46
,105,2,492386.82
,105,2,242531.55
,105,2,200007.61
,87,2,390000.04
,87,2,1200000.0
,87,2,849989.3
,87,2,1035000.08
,1,2,227673.53
,1,2,492070.8
,102,2,500000.21
,18,2,700000.0
,87,2,84036.0
,73,2,249939.7
,18,2,191882.09
,45,2,124537.3
,80,2,99841.7
,80,2,2214875.21
,108,2,438697.35
,108,2,2182928.0
,108,2,499800.75
,108,2,496514.25
,108,2,2600581.5
,49,2,2749444.59
,49,2,199999.92
,49,2,700000.0
,67,2,227432.77
,67,2,249043.55
,108,2,643957.52
,108,2,1038535.58
,108,2,398413.54
,108,2,799397.0
,72,2,100000.0
,72,2,130000.36
,72,2,300003.99
,72,2,124999.73
,72,2,250036.96
,72,2,250000.0
,72,2,350025.93
,72,2,299999.99
,36,2,1100000.92
,36,2,500000.0
,18,2,350000.0
,18,2,225000.0
,98,2,500000.0
,73,2,635000.0
,18,2,300000.0
,18,2,300674.69
,18,2,400000.0
,18,2,300000.0
,91,2,249898.5
,22,2,210527.07
,67,2,415000.08
,87,2,900000.01
,87,2,349750.66
,87,2,250000.88
,87,2,748990.98
,87,2,361127.67
,87,2,750000.0
,87,2,261458.78
,87,2,700000.74
,87,2,391748.4
,87,2,349240.83
,87,2,320000.0
,87,2,294788.0
,87,2,200435.61
,88,2,499999.02
,108,2,1097170.96
,108,2,600000.0
,108,2,721347.46
,108,2,498716.3
,108,2,399944.6
,108,2,277736.01
,1,2,334312.08
,1,2,500000.32
,72,2,347228.06
,72,2,2199947.53
,105,2,713615.1
,105,2,1055296.49
,105,2,4000149.55
,105,2,2003257.86
,105,2,500006.66
,105,2,249807.94
,105,2,929649.87
,105,2,552754.98
,105,2,1112350.6
,105,2,457195.09
,105,2,1608811.56
,105,2,451921.14
,105,2,649949.46
,105,2,279999.15
,105,2,375035.0
,105,2,361631.09
,105,2,205850.24
,36,2,1000000.0
,105,2,745741.7
,87,2,450000.03
,18,2,500000.0
,18,2,190000.0
,18,2,371991.92
,18,2,450000.0
,18,2,350000.0
,72,2,1049039.7
,87,2,249855.12
,87,2,450000.0
,88,2,603783.77
,36,2,275276.76
,72,2,351395.28
,87,2,296779.19
,80,2,650000.0
,80,2,2211806.27
,51,2,400000.0
,51,2,299992.6
,51,2,350001.3
,51,2,344481.75
,51,2,249222.75
,51,2,250000.0
,51,2,299999.93
,51,2,99944.67
,51,2,222692.48
,36,2,239999.4
,36,2,681252.45
,36,2,502811.07
,91,2,399976.27
,91,2,850847.63
,87,2,321625.31
,87,2,377945.19
,87,2,419000.22
,87,2,249956.57
,108,2,1444050.0
,108,2,465661.86
,80,2,1783632.79
,80,2,1996910.23
,80,2,2225000.26
,55,2,537398.98
,108,2,247670.76
,108,2,800000.0
,108,2,327988.61
,105,2,327351.53
,105,2,322263.01
,105,2,696166.62
,105,2,774742.06
,91,2,228186.05
,105,2,688050.87
,105,2,283744.34
,105,2,249901.05
,105,2,435078.48
,105,2,1499728.05
,105,2,199579.5
,80,2,748823.0
,55,2,480679.37
,87,2,300000.0
,18,2,400001.14
,36,2,200000.49
,67,2,332193.27
,67,2,247825.52
,67,2,549629.68
,67,2,204227.03
,87,2,290818.51
,87,2,1200000.29
,72,2,413366.44
,72,2,600000.0
,72,2,449999.3
,67,2,346721.46
,36,2,600000.64
,36,2,476316.73
,80,2,1455500.8
,108,2,254196.32
,72,2,1999540.7
,105,2,1699998.45
,55,2,308202.8
,55,2,355459.35
,55,2,188917.72
,55,2,452214.1
,55,2,346977.55
,55,2,755151.0
,55,2,471802.54
,55,2,397795.92
,55,2,243807.5
,55,2,513106.26
,55,2,331653.35
,1,2,449998.02
,1,2,699999.85
,1,2,734100.0
,91,2,380877.08
,91,2,429855.38
,87,2,314979.56
,87,2,1587571.35
,36,2,497056.67
,108,2,1376852.63
,108,2,2698762.5
,87,2,149999.7
,36,2,1011334.65
,105,2,1361000.0
,105,2,179532.95
,105,2,1540000.0
,105,2,315896.31
,87,2,652895.04
,1,2,392304.8
,1,2,439868.44
,1,2,349904.64
,18,2,999971.3
,72,2,149390.19
,72,2,253786.54
,72,2,120000.0
,72,2,800000.0
,72,2,210560.0
,72,2,142279.85
,72,2,300002.75
,72,2,450000.0
,72,2,180000.75
02-2014,36,2,868884.0
02-2014,74,2,152123.0
02-2019,49,2,500118.0
02-2019,49,2,1500000.0
02-2019,49,2,2094645.11
02-2019,49,2,3392824.41
02-2019,49,2,2325000.0
02-2019,49,2,800000.0
02-2019,72,2,300003.93
02-2019,72,2,200000.0
02-2019,36,2,521413.78
02-2019,36,2,499327.58
02-2019,36,2,299665.7
02-2019,73,2,264897.76
02-2020,108,2,252353.62
02-2020,108,2,576347.58
02-2020,108,2,433328.58
,80,2,256454.46
,80,2,1097210.17
,80,2,3726493.81
,80,2,2300861.74
,80,2,198019.8
,105,2,750000.0
,18,2,300000.0
,18,2,507999.19
,18,2,350000.0
,18,2,576869.64
,72,2,899743.01
,72,2,149989.48
,72,2,999999.84
,72,2,250035.95
,72,2,1550003.7
,108,2,661384.29
,108,2,427037.0
,108,2,589814.93
,108,2,799947.09
,108,2,499991.63
,108,2,489461.34
,108,2,399840.01
,108,2,149905.88
,108,2,292841.88
,108,2,593569.23
,105,2,2999277.69
,105,2,725986.98
,105,2,849720.18
,105,2,971364.6
,105,2,1699919.96
,105,2,881680.47
,36,2,600000.1
,36,2,699916.69
,72,2,400000.0
,72,2,149999.35
,72,2,184327.19
,72,2,120000.0
,72,2,225546.09
,72,2,323650.52
,72,2,250000.0
,72,2,350000.0
,72,2,180005.36
,72,2,235681.84
,87,2,388700.0
,108,2,149884.53
,108,2,697889.05
,105,2,770000.0
,105,2,1400018.77
,105,2,8955404.99
,108,2,650004.99
,36,2,199999.98
,36,2,273910.78
,36,2,267715.81
,36,2,228757.92
,36,2,229944.33
,36,2,750000.24
,36,2,237752.89
,36,2,350000.0
,105,2,759863.41
,105,2,1899612.31
,105,2,683958.98
,36,2,200000.0
,36,2,150000.0
,36,2,361500.0
,36,2,498929.98
,36,2,425000.0
,36,2,312596.48
,36,2,235000.0
,91,2,706845.87
,73,2,345205.18
,105,2,498383.16
,105,2,1674621.05
,105,2,1698573.0
,105,2,1624558.32
,105,2,1632292.33
,105,2,543884.14
,105,2,319884.03
,36,2,497750.0
,105,2,595692.13
,105,2,943080.22
,105,2,484923.83
,105,2,749956.75
,87,2,220728.0
,73,2,324305.66
,73,2,249957.86
,73,2,249524.0
,36,2,455145.76
,36,2,472554.96
,87,2,399985.84
,87,2,571743.96
,87,2,451653.25
,49,2,300000.0
,36,2,333201.09
,72,2,299999.46
,36,2,250000.0
,36,2,200140.83
,36,2,206030.93
,36,2,200000.11
,36,2,190008.34
,36,2,208340.77
,80,2,800000.05
,87,2,746837.0
,45,2,101236.77
,18,2,391021.01
,74,2,152999.52
,74,2,171285.0
,80,2,2046031.16
,108,2,299984.93
,108,2,775377.32
,108,2,618401.15
,108,2,1987089.08
,87,2,464537.82
,49,2,600968.18
,87,2,269975.98
,67,2,500983.63
,67,2,224721.73
,67,2,200000.23
,87,2,499942.52
,36,2,440108.22
,72,2,645770.4
,72,2,1100000.0
,108,2,494303.61
,88,2,250001.18
,108,2,735131.83
,108,2,297474.98
,108,2,730183.78
,108,2,770559.96
,108,2,697254.8
,105,2,4000000.74
,105,2,15188200.74
,105,2,494618.97
,105,2,875117.69
,105,2,6034668.21
,105,2,2379137.76
,105,2,754448.44
,51,2,500000.0
,72,2,150000.0
,72,2,450095.78
,72,2,301432.12
,36,2,250000.0
,108,2,411053.23
,108,2,760823.5
,36,2,584231.01
,36,2,425000.0
,36,2,450000.0
,36,2,445632.02
,36,2,545298.61
,108,2,318317.51
,108,2,511071.48
,108,2,1499042.18
,108,2,541925.7
,108,2,770866.97
,108,2,772725.52
,108,2,512500.04
,108,2,345480.53
,108,2,2205775.34
,51,2,395570.75
,105,2,720001.93
,105,2,1664849.56
,36,2,200000.8
,108,2,1723152.72
,108,2,249960.71
,108,2,500000.3
,87,2,199948.01
,87,2,1134905.02
,87,2,384221.77
,36,2,80000.06
,87,2,2726023.0
,45,2,373923.56
,67,2,445175.38
,51,2,385408.3
,51,2,108551.5
,51,2,395153.35
,36,2,726707.91
,36,2,674733.25
,55,2,98050.62
,91,2,999999.32
,49,2,1867887.66
,49,2,899999.99
,49,2,950000.0
,108,2,708747.67
,108,2,693858.86
,108,2,642266.97
,108,2,626369.55
,108,2,471066.43
,108,2,692346.38
,87,2,399999.99
,80,2,184275.5
,36,2,499967.61
,36,2,900004.39
,105,2,1011595.7
,105,2,696759.75
,105,2,697602.55
,51,2,201437.27
,91,2,249887.8
,36,2,309848.04
,36,2,749999.94
,36,2,8499999.95
,91,2,541515.66
,105,2,1209999.98
,105,2,1999454.3
,105,2,1259292.35
,105,2,1634474.49
,105,2,579308.15
,49,2,787500.0
,49,2,1350000.0
,108,2,1338082.29
,108,2,958026.65
,108,2,1389530.84
,108,2,258426.4
,49,2,452749.7
,49,2,600000.63
,87,2,1362821.59
,74,2,329971.56
,74,2,353757.52
,73,2,230000.78
,105,2,470040.0
,105,2,683607.44
,72,2,680500.61
,72,2,600000.63
,51,2,600003.04
,67,2,149911.28
,67,2,257729.17
,91,2,249656.68
,91,2,499998.16
,91,2,376629.3
,27,2,299998.04
,27,2,300000.07
,27,2,540000.0
,1,2,483048.93
,72,2,450000.0
,72,2,200000.82
,72,2,200000.12
,72,2,393598.0
,72,2,575790.27
,72,2,333733.47
,1,2,499354.56
,72,2,298606.44
,72,2,1100002.4
,72,2,198663.33
,108,2,1027900.99
,105,2,457596.2
,18,2,400000.24
,67,2,199488.9
,36,2,157813.86
,36,2,200000.11
,36,2,200001.77
03-2017,1,2,342619.63
03-2017,1,2,877408.56
03-2018,91,2,1751048.04
03-2018,91,2,917225.51
03-2019,80,2,500000.3
03-2019,80,2,300231.3
03-2019,80,2,700000.42
03-2020,72,2,549026.04
03-2020,72,2,500000.3
03-2020,72,2,100000.6
03-2020,72,2,893999.98
03-2020,105,2,793957.65
03-2020,88,2,200004.73
03-2020,88,2,90035.95
03-2020,88,2,100000.01
03-2020,88,2,630390.97
03-2020,88,2,306314.68
,36,2,849933.97
,105,2,1288976.8
,73,2,250010.0
,67,2,495720.01
,87,2,600000.08
,72,2,579999.82
,88,2,249637.42
,108,2,529985.45
,108,2,818741.2
,36,2,200000.05
,36,2,250000.01
,36,2,200000.01
,36,2,300000.0
,108,2,394521.39
,108,2,200000.0
,108,2,558689.97
,108,2,311939.69
,108,2,188547.11
,108,2,578161.66
,108,2,1092200.92
,74,2,332015.0
,87,2,118000.62
,87,2,44760.7
,87,2,75348.42
,36,2,655700.54
,72,2,710999.54
,105,2,4000000.0
,105,2,749375.89
,67,2,100986.61
,105,2,684789.09
,105,2,2089746.27
,67,2,420000.01
,105,2,1542317.19
,105,2,999880.35
,105,2,1333379.57
,36,2,550000.65
,36,2,856425.56
,36,2,256759.28
,36,2,200000.0
,36,2,199982.88
,36,2,199998.15
,108,2,1050459.13
,108,2,424205.99
,108,2,451484.09
04-2016,91,2,751129.39
04-2016,67,2,199999.86
04-2017,88,2,800000.0
04-2018,72,2,769078.13
04-2019,1,2,327656.67
04-2019,1,2,270000.01
04-2019,1,2,375998.73
04-2019,1,2,785861.32
04-2019,1,2,247558.62
04-2019,1,2,520000.0
04-2019,1,2,246910.85
04-2019,36,2,300000.0
04-2019,72,2,299999.86
04-2021,27,2,1026882.55
04-2022,105,2,3245095.98
04-2022,105,2,1972821.79
05-2016,36,2,591979.51
05-2016,36,2,432881.08
05-2017,108,2,2062847.11
05-2017,108,2,1700046.33
05-2017,36,2,208113.6
05-2017,73,2,300982.26
05-2017,73,2,300000.18
