PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,ClusterId,ClusterBudget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2017,2017-11-07,2023,1,10.0,102640.61,28000.0,28000.0,42000.0,42000.0,9177.0,7710.0,15904.0,12786.0
1,2017,2018-01-05,2123,2,4.0,363770.92,3675.0,3675.0,,,,,,
1,2017,2018-01-14,2123,2,4.0,420000.01,2182.0,2129.0,3246.0,3087.0,2349.0,2292.0,3495.0,3324.0
1,2017,2018-01-15,2123,2,4.0,284780.39,1792.0,1904.0,3774.0,3730.0,2128.0,2261.0,4480.0,4431.0
1,2017,2018-02-22,2123,2,6.0,491637.98,3147.0,3123.0,3483.0,2157.0,1575.0,1901.0,4217.0,4243.0
1,2017,2018-02-22,2123,2,10.0,362926.84,46845.0,46845.0,57255.0,57255.0,38085.0,26032.0,98683.0,78492.0
1,2017,2018-03-06,2123,2,10.0,527889.85,53077.0,55604.0,70769.0,73296.0,63573.0,61821.0,74769.0,71581.0
1,2017,2018-04-09,2123,2,6.0,501002.6,1827.0,1938.0,3671.0,3079.0,2107.0,2295.0,4045.0,4136.0
1,2017,2018-06-03,2223,2,6.0,451060.09,8171.0,9468.0,12002.0,13385.0,8803.0,10122.0,12743.0,13884.0
1,2017,2018-06-03,2223,2,10.0,138787.72,2514.0,2913.0,3693.0,4118.0,2709.0,3115.0,3921.0,4272.0
1,2017,2018-06-03,2223,2,12.0,104090.79,1886.0,2185.0,2770.0,3089.0,2031.0,2336.0,2941.0,3204.0
1,2017,2018-06-04,2123,2,4.0,242375.4135,492.0,1019.0,1410.0,2112.0,866.0,1099.0,1481.0,2334.0
1,2017,2018-06-04,2123,2,10.0,249720.123,507.0,1050.0,1453.0,2176.0,892.0,1133.0,1526.0,2405.0
1,2017,2018-06-10,2223,2,6.0,241128.646,677.0,677.0,767.0,767.0,1354.0,1385.0,1705.0,2041.0
1,2017,2018-06-10,2223,2,10.0,87683.144,246.0,246.0,279.0,279.0,492.0,504.0,620.0,742.0
1,2017,2018-06-13,2123,2,10.0,477390.63,42.0,43.0,2650.0,2650.0,42.0,43.0,2220.0,2280.0
1,2017,2018-06-23,2223,2,6.0,199766.0184,2174.0,2184.0,3045.0,3098.0,2345.0,2356.0,3285.0,3342.0
1,2017,2018-06-23,2223,2,10.0,74912.2569,815.0,819.0,1142.0,1162.0,879.0,884.0,1232.0,1253.0
1,2017,2018-07-01,2123,2,7.0,1185709.59,11112.0,1928.0,8495.0,2475.0,12299.0,2453.0,11248.0,3511.0
1,2017,2018-07-03,2123,2,9.0,2294574.43,,,15180.0,17820.0,,,15271.0,17926.0
1,2017,2018-07-03,2323,1,7.0,46897.84,24347.0,22001.0,16860.0,15750.0,4000.0,3700.0,2800.0,2500.0
1,2017,2018-07-16,2123,2,4.0,743992.0425,539.0,588.0,3125.0,3094.0,1369.0,1252.0,6733.0,4818.0
1,2017,2018-07-16,2123,2,10.0,1381699.5075,1001.0,1093.0,5803.0,5746.0,2542.0,2325.0,12504.0,8947.0
1,2017,2018-07-17,2123,2,9.0,629861.18,70.0,12054.0,6941.0,7827.0,95.0,10270.0,5349.0,7398.0
1,2017,2018-07-23,2223,2,10.0,399916.23,77148.0,57861.0,154296.0,96435.0,84884.0,62018.0,162220.0,98956.0
