PooledFundId,AllocationYear,ReportApprovedDate,AllocationtypeId,AllocationSourceId,OrganizationType,NumbofProjects,TotalNumbPartners,Budget,TargetedMen,TargetedWomen,TargetedBoys,TargetedGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls,DisabledMen,DisabledWomen,DisabledBoys,DisabledGirls,ReachedDisabledMen,ReachedDisabledWomen,ReachedDisabledBoys,ReachedDisabledGirls
1,2017,2017-11-07,2023,1,1,1,1.0,102640.61,28000.0,28000.0,42000.0,42000.0,9177.0,7710.0,15904.0,12786.0,,,,,,,,
1,2017,2017-12-31,2123,2,1,1,1.0,269952.11,4061.0,4889.0,8631.0,10384.0,4042.0,4901.0,8644.0,10378.0,,,,,,,,
1,2017,2018-01-03,2123,2,2,1,1.0,784454.01,12950.0,11550.0,23100.0,22400.0,8296.0,8584.0,12665.0,13097.0,,,,,,,,
1,2017,2018-01-05,2123,2,2,1,1.0,363770.92,3675.0,3675.0,,,,,,,,,,,,,,
1,2017,2018-01-14,2123,2,1,1,1.0,420000.01,2182.0,2129.0,3246.0,3087.0,2349.0,2292.0,3495.0,3324.0,,,,,,,,
1,2017,2018-01-15,2123,2,1,1,1.0,284780.39,1792.0,1904.0,3774.0,3730.0,2128.0,2261.0,4480.0,4431.0,,,,,,,,
1,2017,2018-02-22,2123,2,1,1,1.0,491637.98,3147.0,3123.0,3483.0,2157.0,1575.0,1901.0,4217.0,4243.0,,,,,,,,
1,2017,2018-02-22,2123,2,1,1,1.0,362926.84,46845.0,46845.0,57255.0,57255.0,38085.0,26032.0,98683.0,78492.0,,,,,,,,
1,2017,2018-03-06,2123,2,1,1,1.0,527889.85,53077.0,55604.0,70769.0,73296.0,63573.0,61821.0,74769.0,71581.0,,,,,,,,
1,2017,2018-04-09,2123,2,1,1,1.0,501002.6,1827.0,1938.0,3671.0,3079.0,2107.0,2295.0,4045.0,4136.0,,,,,,,,
1,2017,2018-06-03,2223,2,1,1,1.0,693938.6,12570.0,14566.0,18464.0,20592.0,13543.0,15573.0,19604.0,21360.0,,,,,,,,
1,2017,2018-06-04,2123,2,1,1,1.0,734470.95,1492.0,3088.0,4274.0,6400.0,2624.0,3331.0,4487.0,7074.0,,,,,,,,
1,2017,2018-06-10,2223,2,1,1,1.0,438415.72,1230.0,1230.0,1395.0,1395.0,2462.0,2518.0,3100.0,3711.0,,,,,,,,
1,2017,2018-06-13,2123,2,1,1,1.0,477390.63,42.0,43.0,2650.0,2650.0,42.0,43.0,2220.0,2280.0,,,,,,,,
1,2017,2018-06-23,2223,2,1,1,1.0,832358.41,9058.0,9102.0,12688.0,12908.0,9771.0,9818.0,13688.0,13924.0,,,,,,,,
1,2017,2018-07-01,2123,2,2,1,1.0,1185709.59,11112.0,1928.0,8495.0,2475.0,12299.0,2453.0,11248.0,3511.0,,,,,,,,
1,2017,2018-07-03,2123,2,3,1,1.0,2294574.43,,,15180.0,17820.0,,,15271.0,17926.0,,,,,,,,
1,2017,2018-07-03,2323,1,3,1,1.0,46897.84,24347.0,22001.0,16860.0,15750.0,4000.0,3700.0,2800.0,2500.0,,,,,,,,
1,2017,2018-07-16,2123,2,1,1,1.0,2125691.55,1540.0,1681.0,8928.0,8840.0,3910.0,3577.0,19237.0,13765.0,,,,,,,,
1,2017,2018-07-17,2123,2,1,1,1.0,629861.18,70.0,12054.0,6941.0,7827.0,95.0,10270.0,5349.0,7398.0,,,,,,,,
1,2017,2018-07-23,2223,2,3,1,1.0,399916.23,77148.0,57861.0,154296.0,96435.0,84884.0,62018.0,162220.0,98956.0,,,,,,,,
1,2017,2018-08-07,2123,2,3,2,2.0,1030889.55,18309.0,41512.0,17214.0,17526.0,16966.0,33573.0,12243.0,11717.0,,,,,,,,
1,2017,2018-08-12,2523,1,1,1,1.0,400000.0,2250.0,2250.0,3000.0,3000.0,2584.0,2600.0,3990.0,4000.0,,,,,,,,
1,2017,2018-08-15,2123,2,2,1,1.0,719215.74,1309.0,5863.0,2500.0,2500.0,25016.0,21264.0,2574.0,2566.0,,,,,,,,
1,2017,2018-08-26,2223,2,1,1,1.0,374122.29,63333.0,66499.0,91832.0,94999.0,81538.0,79117.0,87569.0,83133.0,,,,,,,,
1,2017,2018-09-05,2523,1,1,1,1.0,380803.37,6221.0,581.0,2183.0,751.0,6979.0,649.0,2978.0,895.0,,,,,,,,
1,2017,2018-09-06,2523,1,3,1,1.0,668178.11,2020.0,1940.0,2570.0,2470.0,1819.0,2190.0,3598.0,3264.0,,,,,,,,
1,2017,2018-09-08,2123,2,3,1,1.0,463266.3,9650.0,5044.0,3619.0,3619.0,13469.0,10916.0,10117.0,8328.0,,,,,,,,
1,2017,2018-09-27,2123,2,3,1,1.0,3110556.6,,21069.0,14625.0,14065.0,,21297.0,9378.0,12529.0,,,,,,,,
1,2017,2018-10-11,2123,2,1,1,1.0,248685.58,13899.0,13443.0,3399.0,3194.0,7055.0,14642.0,3843.0,4244.0,,,,,,,,
1,2017,2018-10-16,2123,2,1,1,1.0,2293570.04,121402.0,126355.0,148379.0,154435.0,65170.0,67830.0,79652.0,82932.0,,,,,,,,
1,2017,2018-10-17,2123,2,2,1,1.0,584551.65,5067.0,31013.0,9112.0,10696.0,6088.0,50111.0,8329.0,10471.0,,,,,,,,
