PooledFundId,AllocationYear,ReportApprovedDate,BeneficiaryTypeId,AllocationtypeId,AllocationSourceId,TargetMen,TargetWomen,TargetBoys,TargetGirls,ReachedMen,ReachedWomen,ReachedBoys,ReachedGirls
1,2017,2017-11-07,4.0,2023,1,28000.0,28000.0,42000.0,42000.0,9177.0,7710.0,15904.0,12786.0
1,2017,2017-12-31,3.0,2123,2,2274.0,2755.0,5267.0,6189.0,2284.0,2755.0,5266.0,6180.0
1,2017,2017-12-31,4.0,2123,2,1787.0,2134.0,3364.0,4195.0,1758.0,2146.0,3378.0,4198.0
1,2017,2018-01-03,3.0,2123,2,6475.0,5775.0,11550.0,11200.0,8296.0,8584.0,12665.0,13097.0
1,2017,2018-01-03,4.0,2123,2,6475.0,5775.0,11550.0,11200.0,,,,
1,2017,2018-01-05,2.0,2123,2,175.0,175.0,,,,,,
1,2017,2018-01-05,3.0,2123,2,3500.0,3500.0,,,1123.0,1124.0,,
1,2017,2018-01-14,3.0,2123,2,2182.0,2129.0,3246.0,3087.0,2349.0,2292.0,3495.0,3324.0
1,2017,2018-02-22,2.0,2123,2,25920.0,25920.0,31680.0,31680.0,18213.0,15534.0,56585.0,45766.0
1,2017,2018-02-22,3.0,2123,2,24072.0,24048.0,29058.0,27732.0,21447.0,12399.0,46315.0,36969.0
1,2017,2018-03-06,2.0,2123,2,24982.0,26171.0,33309.0,34498.0,35454.0,34281.0,43995.0,41572.0
1,2017,2018-03-06,3.0,2123,2,28095.0,29433.0,37460.0,38798.0,28119.0,27540.0,30774.0,30009.0
1,2017,2018-04-09,3.0,2123,2,1827.0,1938.0,3671.0,3079.0,2017.0,2295.0,4045.0,4136.0
1,2017,2018-06-03,2.0,2223,2,55.0,65.0,82.0,91.0,60.0,71.0,91.0,96.0
1,2017,2018-06-03,3.0,2223,2,12515.0,14501.0,18382.0,20501.0,12570.0,14566.0,18464.0,20592.0
1,2017,2018-06-04,2.0,2123,2,399.0,866.0,1102.0,1710.0,529.0,428.0,610.0,722.0
1,2017,2018-06-04,4.0,2123,2,1093.0,2222.0,3172.0,4690.0,915.0,2758.0,1082.0,3033.0
1,2017,2018-06-10,3.0,2223,2,1230.0,1230.0,1395.0,1395.0,2462.0,2518.0,3100.0,3711.0
1,2017,2018-06-13,4.0,2123,2,42.0,43.0,2650.0,2650.0,,,,
1,2017,2018-06-23,2.0,2223,2,435.0,437.0,609.0,619.0,435.0,437.0,609.0,619.0
1,2017,2018-06-23,3.0,2223,2,4204.0,4224.0,5888.0,5991.0,4673.0,4696.0,6546.0,6660.0
1,2017,2018-06-23,4.0,2223,2,4419.0,4441.0,6191.0,6298.0,4663.0,4685.0,6533.0,6645.0
1,2017,2018-07-01,4.0,2123,2,11112.0,1928.0,8495.0,2475.0,12299.0,2453.0,11248.0,3511.0
1,2017,2018-07-03,2.0,2123,2,,,8280.0,9720.0,,,12311.0,14454.0
1,2017,2018-07-03,3.0,2123,2,,,5750.0,6750.0,,,2101.0,2476.0
1,2017,2018-07-03,3.0,2323,1,15424.0,14364.0,11439.0,10982.0,,,,
