AllocationYear,PartnerCode,PooledFundId,OrganizatinonId,ClusterId,AllocationSurceId,ProjList,NumbofProj,Budget
2006,1,18,3,6,4,279,1,149300.0
2006,1,27,3,13,4,203##138,2,1849462.0
2006,1,28,3,Common Services,3,25,1,26000.0
2006,1,36,3,Common Services,3,29,1,80000.0
2006,1,44,3,10,3,26,1,316800.0
2006,1,67,3,"Water, Sanitation and Hygiene",3,331,1,230050.0
2006,1,73,3,2,3,294,1,3299302.2
2006,1,78,3,13,3,318,1,350000.0
2006,1,79,3,6,4,205,1,161189.0
2006,1,87,3,13,3,297,1,2080000.0
2006,1,89,3,Common Services,3,28,1,191000.0
2006,11,14,3,13,4,142##216##210,3,1945671.2
2006,11,16,3,13,3,342,1,500000.0
2006,11,18,3,13,3,40##41,2,416149.0
2006,11,18,3,13,4,146##211,2,300000.0
2006,11,19,3,13,3,38,1,212868.0
2006,11,19,3,13,4,141,1,3487132.0
2006,11,22,3,13,3,304,1,1393140.0
2006,11,24,3,10,4,212,1,745100.0
2006,11,24,3,13,4,150,1,1000000.0
2006,11,27,3,10,4,217##149,2,850000.0
2006,11,27,3,13,4,152##215,2,3050538.0
2006,11,35,3,6,4,213,1,299993.0
2006,11,36,3,13,4,151##143##144,3,600000.0
2006,11,43,3,13,4,153,1,263220.0
2006,11,49,3,13,3,324,1,3998590.0
2006,11,51,3,13,3,326,1,1000000.0
2006,11,52,3,13,3,290##44,2,5105779.01
2006,11,52,3,13,4,145,1,500000.0
2006,11,67,3,7,3,306,1,1000498.0
2006,11,79,3,13,4,147##148##214,3,643611.0
2006,11,80,3,13,3,37,1,1500000.0
2006,11,89,3,10,3,313##43,2,1357000.0
2006,11,89,3,Shelter and Non-Food Items,3,42,1,1224000.0
2006,11,91,3,13,3,327,1,1000000.0
2006,11,93,3,Shelter and Non-Food Items,3,39,1,1241949.0
2006,11,106,3,13,4,154,1,500000.0
2006,12,45,3,"Water, Sanitation and Hygiene",4,169,1,230000.0
2006,2,1,3,6,3,97##299,2,27231270.0
2006,2,13,3,9,4,244,1,950000.0
2006,2,18,3,6,3,98,1,1200000.0
2006,2,18,3,Common Services,4,278,1,150000.0
2006,2,19,3,6,3,91,1,800360.0
2006,2,19,3,6,4,170,1,998310.0
2006,2,19,3,Common Services,4,171,1,1200000.0
2006,2,27,3,6,4,173,1,3000000.0
2006,2,27,3,Common Services,4,242##177##174##246##180,5,4224000.0
2006,2,28,3,6,3,82##79,2,500000.0
2006,2,36,3,6,3,107,1,1790602.0
2006,2,36,3,6,4,176,1,400000.0
2006,2,36,3,Common Services,3,309##92,2,983086.0
2006,2,43,3,6,4,178,1,130000.0
2006,2,43,3,Common Services,4,239,1,250000.0
2006,2,44,3,6,3,89,1,399030.51
2006,2,52,3,6,3,287##80##84##108,4,8664726.5
2006,2,52,3,6,4,172,1,500000.0
2006,2,52,3,Common Services,3,87##334,2,2637750.0
2006,2,55,3,Common Services,3,95##96,2,3000000.0
2006,2,61,3,6,4,240,1,1514798.0
2006,2,63,3,6,4,243,1,595794.0
2006,2,67,3,6,3,328,1,970546.5
2006,2,71,3,6,3,83,1,5503822.91
2006,2,78,3,6,3,317,1,497550.0
2006,2,79,3,6,4,175,1,89823.18
2006,2,80,3,6,3,90,1,11500000.0
2006,2,80,3,Common Services,3,99##337##336,3,9094400.0
2006,2,80,3,Shelter and Non-Food Items,3,94,1,300000.0
2006,2,87,3,6,3,81##88,2,1352000.0
2006,2,87,3,13,3,286,1,2837000.0
2006,2,87,3,Common Services,3,93##296##85,3,4961825.35
2006,2,89,3,6,3,312,1,3840985.0
2006,2,89,3,Common Services,3,323##100,2,1807461.12
2006,2,91,3,6,3,325,1,177096.0
2006,2,93,3,6,3,86##335,2,2699219.0
2006,2,107,3,6,4,241,1,250000.0
2006,3,1,3,7,3,124##300,2,2022300.0
2006,3,13,3,9,4,258,1,248775.0
2006,3,14,3,7,4,250##183,2,1389395.0
2006,3,14,3,9,4,251,1,134781.0
2006,3,18,3,7,3,122,1,247170.0
2006,3,18,3,7,4,252##259##186,3,732714.0
2006,3,22,3,7,3,303,1,197162.48
2006,3,24,3,7,3,280##109,2,1006245.0
2006,3,24,3,7,4,253##254,2,1181000.0
2006,3,27,3,7,4,260##184##262##185,4,3026000.0
2006,3,27,3,9,4,261,1,500000.0
2006,3,28,3,7,3,115##110,2,220000.0
2006,3,35,3,7,3,116##111,2,1340000.0
2006,3,35,3,7,4,255,1,400020.0
2006,3,36,3,7,3,112##310##127##128,4,900000.0
2006,3,36,3,9,3,117,1,463600.0
2006,3,43,3,7,4,247##188,2,248240.0
2006,3,45,3,"Water, Sanitation and Hygiene",4,181,1,500000.0
2006,3,52,3,7,3,289##118##113,3,1170840.0
2006,3,55,3,7,3,123,1,1000000.0
2006,3,57,3,7,4,248##265##270##263##268##266##267##256##264##269,10,1550826.97
2006,3,63,3,9,4,257,1,235400.0
2006,3,73,3,7,3,305,1,1530100.0
2006,3,78,3,7,3,315,1,357499.84
2006,3,79,3,7,4,187##271,2,313000.0
2006,3,80,3,7,3,120##121,2,2224699.0
2006,3,87,3,7,3,114##119,2,704540.0
2006,3,87,3,"Water, Sanitation and Hygiene",3,125,1,149800.0
2006,3,89,3,7,3,129,1,540550.0
2006,3,107,3,7,4,182##249,2,499963.38
2006,4,1,3,9,3,71##301,2,880758.61
2006,4,1,3,"Water, Sanitation and Hygiene",3,72,1,500000.0
2006,4,13,3,9,4,234,1,551225.0
2006,4,18,3,7,4,235##276,2,353134.0
2006,4,18,3,13,3,70,1,80250.0
2006,4,18,3,13,4,156,1,320998.47
2006,4,18,3,Common Services,4,155##237,2,235195.52000000002
2006,4,18,3,Shelter and Non-Food Items,3,69,1,369750.0
2006,4,18,3,"Water, Sanitation and Hygiene",4,236,1,194723.0
2006,4,19,3,3,3,65,1,588430.0
2006,4,19,3,3,4,157,1,583000.0
2006,4,19,3,7,3,66,1,594000.0
2006,4,19,3,"Water, Sanitation and Hygiene",3,67,1,687632.0
2006,4,24,3,7,4,226,1,319930.0
2006,4,24,3,9,4,225,1,112350.0
2006,4,24,3,"Water, Sanitation and Hygiene",4,227,1,391620.0
2006,4,27,3,7,4,164##230##163,3,5920000.0
2006,4,27,3,9,4,229##162,2,1800000.0
2006,4,27,3,10,4,232##161,2,5100000.0
2006,4,27,3,"Water, Sanitation and Hygiene",4,160##231,2,2700000.0
2006,4,28,3,13,3,54,1,693000.0
2006,4,35,3,7,4,218,1,499690.0
2006,4,35,3,13,3,55##50,2,2346740.0
2006,4,35,3,13,4,219,1,299600.0
2006,4,35,3,"Water, Sanitation and Hygiene",4,220,1,499262.0
2006,4,36,3,7,3,311,1,763093.0
2006,4,36,3,9,3,51,1,1155000.0
2006,4,36,3,"Water, Sanitation and Hygiene",3,56##78,2,1876999.9300000002
2006,4,43,3,7,4,167,1,139100.0
2006,4,43,3,"Water, Sanitation and Hygiene",4,168##221,2,535000.0
2006,4,44,3,3,3,59,1,96288.0
2006,4,44,3,7,3,60,1,81698.0
2006,4,44,3,10,3,61,1,145590.0
2006,4,44,3,Shelter and Non-Food Items,3,62,1,32679.0
2006,4,44,3,"Water, Sanitation and Hygiene",3,63,1,289445.0
2006,4,52,3,7,3,285,1,1070000.0
2006,4,52,3,9,3,52##282,2,2158579.5
2006,4,52,3,10,3,284,1,178690.0
2006,4,52,3,"Water, Sanitation and Hygiene",3,57##283##73,3,2501967.01
2006,4,55,3,"Water, Sanitation and Hygiene",3,68,1,1000000.0
2006,4,57,3,"Water, Sanitation and Hygiene",4,238,1,1000000.0
2006,4,61,3,9,4,222,1,470800.0
2006,4,63,3,9,4,228,1,869910.0
2006,4,67,3,7,3,330,1,1550000.0
2006,4,78,3,Shelter and Non-Food Items,3,321,1,350000.0
2006,4,78,3,"Water, Sanitation and Hygiene",3,316,1,450000.0
2006,4,79,3,7,4,223,1,214000.0
2006,4,79,3,"Water, Sanitation and Hygiene",4,159##224,2,157000.0
2006,4,80,3,7,3,346,1,5400000.0
2006,4,80,3,13,3,58,1,4500000.0
2006,4,87,3,13,3,275,1,1128025.8
2006,4,87,3,Shelter and Non-Food Items,3,298,1,2000000.0
2006,4,93,3,"Water, Sanitation and Hygiene",3,64,1,733700.0
2006,4,107,3,9,4,165,1,250000.0
2006,4,107,3,10,4,166,1,250000.0
2006,4,107,3,"Water, Sanitation and Hygiene",4,233,1,250000.0
2006,5,1,3,6,3,14,1,1670298.0
2006,5,13,3,6,4,191,1,250000.0
2006,5,14,3,6,4,132##192,2,600000.0
2006,5,18,3,6,3,12,1,193200.0
2006,5,18,3,6,4,277,1,100000.0
2006,5,19,3,6,3,13,1,269333.0
2006,5,24,3,6,3,11,1,249599.0
2006,5,27,3,6,4,194##193##130##131,4,5300000.0
2006,5,28,3,6,3,1##6,2,466355.16
2006,5,35,3,6,3,2,1,200000.0
2006,5,36,3,6,3,7##3##308,3,910850.11
