Year,ApplicationCode,EmergencyGroupID,EmergencyTypeID,Budget,WindowID,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2006,06-RR-AFG-14,3,8,19536288.61,3,2006-12-05,2006-12-20,1
2006,06-RR-AFG-4,3,8,12768338.0,3,2006-08-10,2006-08-18,1
2006,06-RR-CAF-1057,1,16,1993200.0,3,2006-06-22,2006-07-31,18
2006,06-RR-CAF-1057,1,19,247170.0,3,2006-06-22,2006-07-31,18
2006,06-RR-CAF-1106,1,16,266149.0,3,2006-08-22,2006-12-31,18
2006,06-RR-CIV-4096,1,19,496438.0,3,2006-03-21,2006-03-22,24
2006,06-RR-CIV-4096,2,12,200000.0,3,2006-03-21,2006-03-22,24
2006,06-RR-CIV-4105,1,19,249599.0,3,2006-05-08,2006-05-08,24
2006,06-RR-CIV-4122,2,12,806245.0,3,2006-10-13,2006-10-13,24
2006,06-RR-CMR-892,1,16,500000.0,3,2006-12-08,2006-12-08,16
2006,06-RR-COL-12879,1,16,1393140.0,3,2006-12-05,2006-12-05,22
2006,06-RR-COL-12879,1,19,197162.48,3,2006-12-05,2006-12-05,22
2006,06-RR-COL-12879,3,6,630636.6,3,2006-12-05,2006-12-05,22
2006,06-RR-DJI-4520,3,8,250000.0,3,2006-03-23,2006-03-23,28
2006,06-RR-DJI-4523,3,8,270000.0,3,2006-03-15,2006-04-07,28
2006,06-RR-DJI-4526,3,8,1385355.16,3,2006-04-10,2006-05-11,28
2006,06-RR-ERI-4900,3,8,3886740.0,3,2006-03-15,2006-08-07,35
2006,06-RR-ETH-5075,3,8,3978239.04,3,2006-03-15,2006-08-07,36
2006,06-RR-ETH-5095,3,6,2967602.0,3,2006-10-04,2006-10-04,36
2006,06-RR-ETH-5106,3,6,2027145.0,3,2006-11-24,2006-11-29,36
2006,06-RR-GNB-5759,1,19,1361530.51,3,2006-05-30,2006-06-07,44
2006,06-RR-IRQ-6062,1,16,3998590.0,3,2006-12-14,2006-12-14,49
2006,06-RR-JOR-6175,1,16,1000000.0,3,2006-12-18,2006-12-18,51
2006,06-RR-KEN-13430,3,6,2487750.0,3,2006-12-28,2006-12-28,52
2006,06-RR-KEN-6267,6,27,50000.0,3,2006-03-15,2006-06-11,52
2006,06-RR-KEN-6267,3,8,6250079.5,3,2006-03-15,2006-06-11,52
2006,06-RR-KEN-6276,3,8,2065420.14,3,2006-04-10,2006-05-02,52
2006,06-RR-KEN-6281,1,16,3500000.0,3,2006-09-26,2006-09-28,52
2006,06-RR-KEN-6285,3,6,11833668.51,3,2006-11-16,2006-11-17,52
2006,06-RR-LBN-6957,6,27,5000000.0,3,2006-07-28,2006-07-31,55
2006,06-RR-LKA-10993,1,19,2724400.0,3,2006-09-13,2006-10-02,89
2006,06-RR-LKA-10993,2,12,540550.0,3,2006-09-13,2006-10-02,89
2006,06-RR-LKA-10993,6,27,1439150.0,3,2006-09-13,2006-10-02,89
2006,06-RR-LKA-13889,1,19,5294866.12,3,2006-12-08,2006-12-13,89
2006,06-RR-MMR-7741,1,19,1000498.0,3,2006-12-05,2006-12-21,67
2006,06-RR-MMR-7741,2,12,1602645.0,3,2006-12-05,2006-12-21,67
2006,06-RR-MMR-7741,6,27,230050.0,3,2006-12-05,2006-12-21,67
2006,06-RR-MMR-7741,3,8,970546.5,3,2006-12-05,2006-12-21,67
2006,06-RR-NER-8392,6,27,5503822.91,3,2006-04-10,2006-04-10,71
2006,06-RR-PHL-9593,5,34,2598304.84,3,2006-12-12,2006-12-12,78
2006,06-RR-PSE-9377,1,19,4829402.2,3,2006-11-27,2006-11-30,73
2006,06-RR-SDN-10040,1,16,13000000.0,3,2006-05-11,2006-06-23,80
2006,06-RR-SDN-10040,2,9,1024699.0,3,2006-05-11,2006-06-23,80
2006,06-RR-SDN-10040,6,27,7000000.0,3,2006-05-11,2006-06-23,80
2006,06-RR-SDN-10048,1,19,4500000.0,3,2006-09-14,2006-09-14,80
2006,06-RR-SDN-10051,1,19,5400000.0,3,2006-12-21,2006-12-21,80
2006,06-RR-SDN-13733,1,19,100000.0,3,2006-12-19,2006-12-19,80
2006,06-RR-SDN-13736,1,19,4494400.0,3,2006-12-19,2006-12-19,80
2006,06-RR-SOM-10619,3,8,2984565.8,3,2006-03-15,2006-04-07,87
2006,06-RR-SOM-10624,3,8,149800.0,3,2006-08-02,2006-08-02,87
2006,06-RR-SOM-10626,3,6,10437041.35,3,2006-11-16,2006-11-29,87
2006,06-RR-SOM-13831,3,8,3037647.58,3,2006-04-10,2006-05-11,87
2006,06-RR-SYR-11294,1,16,1177096.0,3,2006-12-18,2006-12-18,91
2006,06-RR-TCD-1755,1,16,2558623.0,3,2006-06-23,2006-07-05,19
2006,06-RR-TCD-1755,1,19,594000.0,3,2006-06-23,2006-07-05,19
2006,06-RR-TLS-11751,1,19,2848712.0,3,2006-06-09,2006-06-09,93
2006,06-RR-TLS-11751,3,8,1199219.0,3,2006-06-09,2006-06-09,93
2006,06-RR-TLS-11757,1,19,1500000.0,3,2006-12-19,2006-12-19,93
2006,06-UF-BDI-693,1,19,2083330.2,4,2006-06-28,2006-07-14,14
2006,06-UF-BDI-700,6,27,1986517.0,4,2006-09-08,2006-10-05,14
2006,06-UF-BFA-14000,3,8,2000000.0,4,2006-09-15,2006-09-18,13
2006,06-UF-CAF-1047,1,19,999785.99,4,2006-06-15,2006-06-21,18
2006,06-UF-CAF-1070,1,19,2002729.0,4,2006-09-08,2006-10-18,18
2006,06-UF-CIV-4103,1,19,1000000.0,4,2006-06-21,2006-06-21,24
2006,06-UF-CIV-4107,1,19,3000000.0,4,2006-09-08,2006-09-08,24
2006,06-UF-COD-3665,6,27,17000000.0,4,2006-07-07,2006-07-14,27
2006,06-UF-COD-3699,1,16,13580000.0,4,2006-09-11,2006-10-02,27
2006,06-UF-COD-3699,1,19,7420000.0,4,2006-09-11,2006-10-02,27
2006,06-UF-COG-3213,6,27,1000000.1799999999,4,2006-06-28,2006-07-19,79
2006,06-UF-COG-3239,6,27,1000000.0,4,2006-09-06,2006-09-21,79
2006,06-UF-ERI-4909,6,27,1998565.0,4,2006-06-06,2006-09-06,35
