Year,ApplicationCode,WindowID,EmergencyTypeID,EmergencyGroupID,AgencyID,Budget,FirstProjectApprovedDate,LastProjectApprovedDate,CountryID
2006,06-UF-BDI-693,4,19,1,5;11;3,2083330.0000,2006-06-28,2006-07-14,14
2006,06-UF-BDI-700,4,27,6,5;11;3,1986517.0000,2006-09-08,2006-10-05,14
2006,06-RR-DJI-4520,3,8,3,2,250000.0000,2006-03-23,2006-03-23,28
2006,06-RR-DJI-4523,3,8,3,5;3,270000.0000,2006-03-15,2006-04-07,28
2006,06-RR-DJI-4526,3,8,3,5;1;4;2;3,1385355.0000,2006-04-10,2006-05-11,28
2006,06-RR-ERI-4900,3,8,3,5;4;3,3886740.0000,2006-03-15,2006-08-07,35
2006,06-UF-ERI-4909,4,27,6,11;4;3,1998565.0000,2006-06-06,2006-09-06,35
2006,06-RR-ETH-5075,3,8,3,5;1;6;4;2;3,3978239.0000,2006-03-15,2006-08-07,36
2006,06-UF-ETH-5086,4,16,1,11;2,1000000.0000,2006-06-28,2006-06-28,36
2006,06-RR-ETH-5095,3,6,3,4;2;3,2967602.0000,2006-10-04,2006-10-04,36
2006,06-RR-ETH-5106,3,6,3,5;4;2;3,2027145.0000,2006-11-24,2006-11-29,36
2006,06-RR-KEN-6267,3,27,6,5;4;2;3,6300080.0000,2006-03-15,2006-06-11,52
2006,06-RR-KEN-6276,3,8,3,5;6;4;3,2065420.0000,2006-04-10,2006-05-02,52
2006,06-RR-KEN-6281,3,16,1,11;4;2,3500000.0000,2006-09-26,2006-09-28,52
2006,06-RR-KEN-6285,3,6,3,5;11;4;2;3,11833669.0000,2006-11-16,2006-11-17,52
2006,06-UF-KEN-12805,4,27,6,11;2,1000000.0000,2006-06-28,2006-06-28,52
2006,06-RR-KEN-13430,3,6,3,2,2487750.0000,2006-12-28,2006-12-28,52
2006,06-RR-SOM-10619,3,8,3,5;4;2;3,2984566.0000,2006-03-15,2006-04-07,87
2006,06-RR-SOM-10624,3,8,3,3,149800.0000,2006-08-02,2006-08-02,87
2006,06-RR-SOM-10626,3,6,3,5;1;4;2,10437041.0000,2006-11-16,2006-11-29,87
2006,06-RR-SOM-13831,3,8,3,5;2;3,3037648.0000,2006-04-10,2006-05-11,87
2006,06-UF-ZMB-12503,4,16,1,11,500000.0000,2006-08-10,2006-08-10,106
2006,06-UF-ZWE-12510,4,27,6,7;4;3,999973.0000,2006-06-28,2006-06-28,107
2006,06-UF-ZWE-12515,4,27,6,7;4;2;3,999990.0000,2006-09-11,2006-09-11,107
