contributionYear,donorId,fundId,paidAmount,pledgedAmount
2006,124,36,5012000,0
2006,129,36,1553277,0
2006,163,36,247934,0
2006,183,36,8861284,0
2007,124,36,3395940,0
2007,129,36,2022775,0
2007,129,45,1833920,0
2007,158,73,4000000,0
2007,162,36,577564,0
2007,162,73,1469495,0
2007,183,36,7632792,0
2007,183,67,801603,0
2008,86,36,4352601,0
2008,88,36,857232,0
2008,124,36,25675584,0
2008,129,36,2644227,0
2008,129,45,367060,0
2008,129,73,713840,0
2008,158,36,1293661,0
2008,158,73,918635,0
2008,162,36,4090487,0
2008,162,45,2418250,0
2008,162,73,893735,0
2008,163,36,689852,0
2008,183,36,28489850,0
2008,183,45,921658,0
2008,183,67,1086956,0
2009,22,27,2158273,0
2009,52,36,4893091,0
2009,86,18,1461072,0
2009,86,27,738722,0
2009,86,36,2033132,0
2009,86,73,661375,0
2009,86,80,1480372,0
2009,88,36,1010101,0
2009,109,27,658761,0
2009,124,18,2941176,0
2009,124,27,16999970,0
2009,124,36,15441176,0
2009,124,73,1102941,0
2009,124,80,23823529,0
2009,129,22,993484,0
2009,129,27,3091160,0
2009,129,36,2232763,0
2009,129,73,778258,0
2009,129,80,15866005,0
2009,158,36,1443001,0
2009,162,18,2104324,0
2009,162,22,431790,0
2009,162,27,19836811,0
2009,162,36,6476849,0
2009,162,67,1563540,0
2009,162,73,3072519,0
2009,162,80,14742022,0
2009,163,36,699300,0
2009,163,73,499500,0
2009,183,18,1220000,0
2009,183,27,25057500,0
2009,183,36,11173248,0
2009,183,67,414593,0
2009,183,73,1436781,0
2009,183,80,60100166,0
2010,2,45,200000,0
2010,8,45,500000,0
2010,9,45,69920,0
2010,12,45,100000,0
2010,13,74,1803000,0
2010,15,45,499978,0
2010,15,74,1999956,0
2010,22,27,4789721,0
2010,23,45,86000,0
2010,28,45,128100,0
2010,28,74,103040,0
2010,29,45,7012539,0
2010,30,45,52543,0
2010,32,45,161186,0
2010,34,45,60000,0
2010,39,74,5000,0
2010,46,45,950000,0
2010,52,45,5308351,0
2010,52,80,4854368,0
2010,52,87,4317416,0
2010,52,105,876650,0
2010,60,45,1999977,0
2010,63,87,2617200,0
2010,64,45,6747638,0
2010,65,45,1000000,0
2010,81,74,20000000,0
2010,82,45,50000,0
2010,86,18,3052382,0
2010,86,27,4372682,0
2010,86,45,127064,0
2010,86,80,5032832,0
2010,86,87,1291672,0
2010,88,87,2618000,0
2010,94,45,99959,0
2010,94,74,99959,0
2010,95,45,1987,0
2010,109,27,610500,0
2010,110,45,5000,0
2010,114,45,70028,0
2010,114,74,12706,0
2010,116,45,90000,0
2010,118,45,20000,0
2010,124,18,2097902,0
2010,124,27,7097902,0
2010,124,36,9790210,0
2010,124,80,10209785,0
2010,124,87,9042657,0
2010,125,74,1454880,0
2010,126,45,2501000,0
2010,128,45,90000,0
2010,129,22,1005111,0
2010,129,27,3365273,0
2010,129,36,747030,0
2010,129,73,760184,0
2010,129,74,3211034,0
2010,129,80,19888823,0
2010,129,87,1700000,0
2010,148,45,50000000,0
2010,151,45,100000,0
2010,155,45,277777,0
2010,158,22,674763,0
2010,158,27,12517040,0
2010,158,36,1221001,0
2010,158,73,1622398,0
2010,158,80,17132700,0
2010,162,18,3998789,0
2010,162,22,437849,0
2010,162,27,15510048,0
2010,162,36,3696599,0
2010,162,45,817559,0
2010,162,80,13907975,0
2010,162,87,2558475,0
2010,162,105,951859,0
2010,163,87,936181,0
2010,171,45,1000000,0
2010,175,45,100000,0
2010,177,45,1070864,0
2010,183,18,2293577,0
2010,183,27,78399500,0
2010,183,73,1600000,0
2010,183,74,7824726,0
2010,183,87,6100000,0
2010,183,105,792393,0
2010,188,45,130000,0
2010,208,45,187766,0
2010,208,74,121053,0
2011,13,105,1036272,0
2011,15,87,100000,0
2011,30,45,61337,0
2011,46,45,400000,0
2011,52,36,5536273,0
2011,52,80,2995594,0
2011,52,87,11201375,0
2011,63,87,2811000,0
2011,73,87,75000,0
2011,86,18,3351745,0
2011,86,27,4723355,0
2011,86,36,962128,0
2011,86,80,4014009,0
2011,86,87,3403842,0
2011,86,105,273597,0
2011,88,36,709610,0
2011,109,27,652200,0
2011,116,45,10308,0
2011,119,74,70316,0
2011,124,27,5000000,0
2011,124,36,6875000,0
2011,124,80,14375000,0
2011,124,87,18700000,0
2011,129,22,1011518,0
2011,129,27,6945281,0
2011,129,36,2120037,0
2011,129,73,1701438,0
2011,129,74,1863077,0
2011,129,80,22753440,0
2011,129,87,15659747,0
2011,135,87,297920,0
2011,140,87,10000,0
2011,147,22,14245,0
2011,158,22,1368941,0
2011,158,27,6760950,0
2011,158,36,682128,0
2011,158,73,682128,0
2011,158,80,9350250,0
2011,162,18,4874075,0
2011,162,27,17442675,0
2011,162,36,6159600,0
2011,162,67,2199674,0
2011,162,73,1275600,0
2011,162,80,28378774,0
2011,162,87,8286100,0
2011,162,105,2232161,0
2011,163,36,1783533,0
2011,163,87,3374373,0
2011,163,105,542888,0
2011,183,27,35375250,0
2011,183,36,17813610,0
2011,183,80,78255000,0
2011,183,87,32648522,0
2011,183,105,2438729,0
2011,208,36,93,0
2011,208,74,26493,0
2012,13,67,1047200,0
2012,22,27,5222400,0
2012,52,36,902391,0
2012,52,73,1082836,0
2012,52,80,6711026,0
2012,52,87,5332480,0
2012,52,88,5123825,0
2012,52,105,1727782,0
2012,63,87,3990600,0
2012,67,87,2529700,0
2012,86,18,2465530,0
2012,86,27,8904493,0
2012,86,36,1093025,0
2012,86,73,62735,0
2012,86,80,2918882,0
2012,86,87,4291664,0
2012,86,88,2918882,0
2012,86,105,515841,0
2012,98,105,500000,0
2012,109,27,307425,0
2012,124,36,6428571,0
2012,124,80,5000000,0
2012,124,87,8500000,0
2012,124,88,20000000,0
2012,129,22,533789,0
2012,129,27,8462088,0
2012,129,36,820417,0
2012,129,74,874283,0
2012,129,80,10735343,0
2012,129,87,3474001,0
2012,129,88,12106629,0
2012,158,22,649350,0
2012,158,27,3833100,0
2012,158,36,649350,0
