DonorId,FiscalYear,PaidAmt,PledgeAmt,PledgePaidDate,PooledFundId
70,2020,0,35252,11-2020,105
52,2020,0,3209757,12-2020,36
86,2020,0,896057,12-2020,55
86,2020,0,597371,12-2020,102
86,2020,0,1194743,12-2020,105
88,2020,0,597371,12-2020,49
93,2020,0,126835,12-2020,18
163,2021,0,1000000,01-2019,1
163,2021,0,1031991,03-2020,72
13,2021,0,3075030,04-2020,67
67,2021,0,2171552,05-2020,27
67,2021,0,542888,05-2020,67
67,2021,0,1085776,05-2020,72
67,2021,0,2171552,05-2020,98
163,2021,0,822199,05-2020,18
67,2021,0,1103752,06-2020,36
67,2021,0,1103752,06-2020,87
183,2021,0,16497461,07-2019,1
183,2021,0,3807106,07-2019,18
163,2021,0,508130,09-2019,67
67,2021,0,2375296,09-2020,87
163,2021,0,543478,10-2020,102
183,2021,0,44642857,11-2018,105
67,2021,0,11750881,11-2020,108
61,2021,0,50000,12-2020,80
67,2021,0,1194743,12-2020,80
163,2022,0,1000000,01-2019,1
163,2022,0,1031991,03-2020,72
13,2022,0,2675276,04-2020,67
67,2022,0,2171552,05-2020,27
67,2022,0,1085776,05-2020,72
163,2022,0,822199,05-2020,18
183,2022,0,16497461,07-2019,1
183,2022,0,3807106,07-2019,18
163,2022,0,504032,08-2019,36
163,2022,0,543478,10-2020,102
61,2022,0,50000,12-2020,80
67,2022,0,1194743,12-2020,80
67,2023,0,1085776,05-2020,72
183,2023,0,15228426,07-2019,1
82,2020,0,220000,11-2019,109
63,2020,0,6410477,12-2020,109
67,2020,0,11947431,12-2020,109
80,2021,0,394913,03-2020,109
125,2021,0,2039428,04-2019,109
141,2021,0,1000000,06-2017,109
162,2021,0,64643646,06-2018,109
13,2021,0,7304116,06-2020,109
52,2021,0,25170269,06-2020,109
129,2021,0,50347638,09-2018,109
124,2021,0,62500000,11-2018,109
20,2021,0,238948,11-2020,109
21,2021,0,716845,11-2020,109
24,2021,0,1500,11-2020,109
101,2021,0,3000,11-2020,109
107,2021,0,220750,11-2020,109
112,2021,0,5000,11-2020,109
118,2021,0,10000,11-2020,109
144,2021,0,1500000,11-2020,109
152,2021,0,50000,11-2020,109
166,2021,0,20000,11-2020,109
173,2021,0,100000,11-2020,109
86,2021,0,11415525,12-2018,109
18,2021,0,25000,12-2020,109
30,2021,0,50000,12-2020,109
50,2021,0,227998,12-2020,109
Fiji,2021,0,2392,12-2020,109
88,2021,0,7168458,12-2020,109
98,2021,0,6000000,12-2020,109
134,2021,0,50000,12-2020,109
136,2021,0,59737,12-2020,109
183,2021,0,84779706,12-2020,109
Uzbekistan,2021,0,100000,12-2020,109
Yemen,2021,0,10000,12-2020,109
80,2022,0,394913,03-2020,109
52,2022,0,25170269,06-2020,109
183,2022,0,84779706,12-2020,109
80,2023,0,394913,03-2020,109
183,2023,0,84779706,12-2020,109
183,2006,6956522,0,03-2006,36
124,2006,2602000,0,07-2006,36
129,2006,1553277,0,09-2006,36
183,2006,1904762,0,09-2006,36
124,2006,2410000,0,10-2006,36
163,2006,247934,0,12-2006,36
183,2007,1565558,0,01-2007,36
158,2007,4000000,0,04-2007,73
124,2007,2160970,0,05-2007,36
162,2007,1469495,0,05-2007,73
183,2007,801603,0,07-2007,67
162,2007,577564,0,08-2007,36
183,2007,2213279,0,09-2007,36
129,2007,1833920,0,10-2007,45
183,2007,3853955,0,10-2007,36
129,2007,1015479,0,11-2007,36
124,2007,1234970,0,12-2007,36
129,2007,1007296,0,12-2007,36
158,2008,918635,0,02-2009,73
183,2008,1988071,0,03-2008,36
124,2008,4049970,0,05-2008,36
129,2008,1939834,0,05-2008,36
183,2008,9900990,0,06-2008,36
88,2008,857232,0,07-2008,36
183,2008,7905138,0,08-2008,36
183,2008,1086956,0,08-2008,67
86,2008,1392757,0,09-2008,36
124,2008,10814834,0,09-2008,36
129,2008,367060,0,09-2008,45
162,2008,1919948,0,09-2008,36
162,2008,886115,0,09-2008,45
183,2008,8695652,0,10-2008,36
124,2008,10810780,0,11-2008,36
158,2008,1293661,0,11-2008,36
163,2008,438596,0,11-2008,36
86,2008,2959844,0,12-2008,36
129,2008,704393,0,12-2008,36
129,2008,713840,0,12-2008,73
162,2008,2170539,0,12-2008,36
162,2008,1532135,0,12-2008,45
162,2008,893735,0,12-2008,73
163,2008,251256,0,12-2008,36
183,2008,921658,0,12-2008,45
86,2009,661375,0,01-2009,73
52,2009,4893091,0,01-2010,36
88,2009,1010101,0,01-2010,36
158,2009,1443001,0,01-2010,36
183,2009,5600000,0,02-2010,36
183,2009,1436781,0,03-2009,73
109,2009,658761,0,04-2009,27
124,2009,13999970,0,04-2009,27
129,2009,13215859,0,04-2009,80
162,2009,14201324,0,04-2009,27
162,2009,9060424,0,04-2009,80
129,2009,778258,0,05-2009,73
124,2009,1102941,0,07-2009,73
129,2009,3091160,0,07-2009,27
129,2009,1529021,0,07-2009,36
124,2009,15000000,0,08-2009,80
183,2009,25057500,0,08-2009,27
22,2009,2158273,0,09-2009,27
86,2009,1461072,0,09-2009,18
124,2009,15441176,0,09-2009,36
162,2009,2128263,0,09-2009,27
162,2009,6476849,0,09-2009,36
162,2009,1416400,0,09-2009,73
86,2009,1480372,0,10-2009,80
129,2009,993484,0,10-2009,22
183,2009,1220000,0,10-2009,18
183,2009,5573248,0,10-2009,36
86,2009,738722,0,11-2009,27
129,2009,703742,0,11-2009,36
129,2009,2650146,0,11-2009,80
162,2009,1563540,0,11-2009,67
162,2009,2174374,0,11-2009,80
183,2009,414593,0,11-2009,67
86,2009,2033132,0,12-2009,36
124,2009,2941176,0,12-2009,18
124,2009,3000000,0,12-2009,27
124,2009,8823529,0,12-2009,80
162,2009,2104324,0,12-2009,18
162,2009,431790,0,12-2009,22
162,2009,3507224,0,12-2009,27
162,2009,3507224,0,12-2009,80
162,2009,1656119,0,12-2009,73
163,2009,699300,0,12-2009,36
163,2009,499500,0,12-2009,73
183,2009,60100166,0,12-2009,80
8,2010,500000,0,01-2010,45
22,2010,1443001,0,01-2010,27
28,2010,128100,0,01-2010,45
29,2010,5849052,0,01-2010,45
34,2010,50000,0,01-2010,45
52,2010,1638806,0,01-2010,45
52,2010,4854368,0,01-2010,80
116,2010,90000,0,01-2010,45
126,2010,1500000,0,01-2010,45
148,2010,50000000,0,01-2010,45
158,2010,6738860,0,01-2010,27
158,2010,9141600,0,01-2010,80
162,2010,817559,0,01-2010,45
171,2010,1000000,0,01-2010,45
180,2010,31251,0,01-2010,45
183,2010,1600000,0,01-2010,73
2,2010,200000,0,02-2010,45
9,2010,69920,0,02-2010,45
23,2010,86000,0,02-2010,45
30,2010,50000,0,02-2010,45
34,2010,10000,0,02-2010,45
65,2010,1000000,0,02-2010,45
94,2010,99959,0,02-2010,45
110,2010,5000,0,02-2010,45
114,2010,70028,0,02-2010,45
118,2010,20000,0,02-2010,45
128,2010,90000,0,02-2010,45
180,2010,27314,0,02-2010,45
12,2010,100000,0,03-2010,45
15,2010,499978,0,03-2010,45
52,2010,3669545,0,03-2010,45
64,2010,6747638,0,03-2010,45
82,2010,50000,0,03-2010,45
86,2010,1848392,0,03-2010,18
86,2010,3168692,0,03-2010,27
86,2010,3828842,0,03-2010,80
151,2010,100000,0,03-2010,45
158,2010,674763,0,03-2010,22
162,2010,1112615,0,03-2010,18
162,2010,9737674,0,03-2010,27
162,2010,13907975,0,03-2010,80
180,2010,36532,0,03-2010,45
29,2010,384865,0,04-2010,45
46,2010,950000,0,04-2010,45
60,2010,1999977,0,04-2010,45
95,2010,1987,0,04-2010,45
129,2010,15075376,0,04-2010,80
158,2010,942126,0,04-2010,73
183,2010,2293577,0,04-2010,18
183,2010,47149500,0,04-2010,27
188,2010,130000,0,04-2010,45
32,2010,161186,0,05-2010,45
126,2010,1001000,0,05-2010,45
129,2010,3365273,0,05-2010,27
162,2010,3696599,0,05-2010,36
180,2010,80319,0,05-2010,45
29,2010,778622,0,06-2010,45
109,2010,610500,0,06-2010,27
129,2010,747030,0,06-2010,36
158,2010,5778180,0,06-2010,27
158,2010,1221001,0,06-2010,36
158,2010,7991100,0,06-2010,80
180,2010,143,0,06-2010,45
52,2010,4317416,0,07-2010,87
124,2010,5000000,0,07-2010,27
124,2010,9790210,0,07-2010,36
124,2010,7342657,0,07-2010,87
129,2010,760184,0,07-2010,73
162,2010,1358475,0,07-2010,87
162,2010,951859,0,07-2010,105
175,2010,100000,0,07-2010,45
13,2010,1803000,0,08-2010,74
15,2010,1999956,0,08-2010,74
28,2010,103040,0,08-2010,74
30,2010,2543,0,08-2010,45
63,2010,2617200,0,08-2010,87
86,2010,1291672,0,08-2010,87
129,2010,1459715,0,08-2010,74
180,2010,9176,0,08-2010,45
180,2010,91743,0,08-2010,74
183,2010,7824726,0,08-2010,74
39,2010,5000,0,09-2010,74
52,2010,876650,0,09-2010,105
81,2010,20000000,0,09-2010,74
86,2010,127064,0,09-2010,45
114,2010,12706,0,09-2010,74
124,2010,1000000,0,09-2010,87
125,2010,1454880,0,09-2010,74
129,2010,1700000,0,09-2010,87
162,2010,1200000,0,09-2010,87
180,2010,2329,0,09-2010,45
180,2010,21320,0,09-2010,74
183,2010,6100000,0,09-2010,87
86,2010,1203990,0,10-2010,18
86,2010,1203990,0,10-2010,80
124,2010,2097902,0,10-2010,18
158,2010,680272,0,10-2010,73
163,2010,312157,0,10-2010,87
180,2010,663,0,10-2010,74
94,2010,99959,0,11-2010,74
124,2010,5314685,0,11-2010,80
155,2010,277777,0,11-2010,45
180,2010,682,0,11-2010,45
180,2010,101,0,11-2010,74
22,2010,3346720,0,12-2010,27
86,2010,1203990,0,12-2010,27
88,2010,2618000,0,12-2010,87
124,2010,2097902,0,12-2010,27
124,2010,700000,0,12-2010,87
124,2010,4895100,0,12-2010,80
129,2010,1005111,0,12-2010,22
129,2010,1751319,0,12-2010,74
129,2010,4813447,0,12-2010,80
162,2010,2886174,0,12-2010,18
162,2010,437849,0,12-2010,22
162,2010,5772374,0,12-2010,27
163,2010,624024,0,12-2010,87
180,2010,20,0,12-2010,45
180,2010,7226,0,12-2010,74
183,2010,31250000,0,12-2010,27
183,2010,792393,0,12-2010,105
30,2011,61337,0,01-2011,45
52,2011,1734755,0,01-2011,87
52,2011,2995594,0,01-2011,80
183,2011,8267387,0,01-2011,87
183,2011,62020000,0,01-2011,80
13,2011,1036272,0,01-2012,105
129,2011,5313466,0,02-2011,87
180,2011,25493,0,02-2011,74
183,2011,16974300,0,02-2011,87
