FiscalYear,PledgePaidDate,DonorId,PooledFundId,PledgeAmt,PaidAmt
2022,12-2022,126,109,100000,0
2022,12-2022,88,109,2585315,0
2023,06-2023,163,88,1123595,0
2023,06-2023,173,109,50000,0
2023,06-2023,70,109,109051,0
2023,06-2023,183,67,625782,0
2023,06-2023,183,1,14616321,0
2023,06-2023,13,67,1303780,0
2023,06-2023,13,87,1955671,0
2023,06-2023,13,98,6518904,0
2023,06-2023,22,248,3218884,0
2023,06-2023,22,27,9120171,0
2023,06-2023,22,55,4291845,0
2023,06-2023,22,72,2145922,0
2023,06-2023,22,91,7510729,0
2023,06-2023,22,105,5364806,0
2023,06-2023,22,73,4291845,0
2023,06-2023,61,109,42918,0
2023,06-2023,61,36,21459,0
2023,06-2023,61,87,21459,0
2023,06-2023,129,67,894534,0
2023,06-2023,163,109,11061946,0
2023,06-2023,163,67,1659292,0
2023,06-2023,67,1,5020080,0
2023,06-2023,35,109,23241106,0
2023,06-2023,117,109,149551,0
2023,06-2023,183,109,6675567,0
2023,06-2023,18,109,25000,0
2023,06-2023,21,109,639658,0
2023,06-2023,88,109,15511892,0
2023,06-2023,98,109,6000000,0
2023,06-2023,107,109,314795,0
2023,06-2023,148,109,1000000,0
2024,06-2024,163,88,1123595,0
2024,06-2024,13,67,5567153,0
2024,06-2024,124,105,10718113,0
2024,06-2024,163,87,555555,0
2024,06-2024,35,248,728332,0
2024,06-2024,35,36,5098324,0
2024,06-2024,35,55,728332,0
2024,06-2024,35,252,728332,0
2024,06-2024,35,67,1820830,0
2024,06-2024,35,249,728332,0
2024,06-2024,35,72,1456664,0
2024,06-2024,35,91,1456664,0
2024,06-2024,35,108,2184996,0
2024,06-2024,35,102,1456664,0
2024,06-2024,35,105,3641660,0
2024,06-2024,109,109,5353319,0
2024,06-2024,13,1,1522070,0
2024,06-2024,67,18,1172332,0
2024,06-2024,67,27,2344665,0
2024,06-2024,67,88,1172332,0
2024,06-2024,124,109,61383928,0
2024,06-2024,86,55,2744237,0
2024,06-2024,86,105,6586169,0
2024,06-2024,124,27,5488474,0
2024,06-2024,124,87,8781558,0
2024,06-2024,124,88,8781558,0
2024,06-2024,124,80,5488474,0
2024,06-2024,163,36,557413,0
2024,06-2024,86,109,12079831,0
2024,06-2024,22,109,18538713,0
2024,06-2024,35,18,733675,0
2024,06-2024,35,27,2934702,0
2024,06-2024,35,87,3668378,0
2024,06-2024,35,88,2567865,0
2024,06-2024,35,80,2567865,0
2024,06-2024,67,80,550055,0
2024,06-2024,86,72,1090512,0
2024,06-2024,163,1,1675977,0
2024,06-2024,125,109,1885606,0
2024,06-2024,163,67,503018,0
2024,06-2024,22,248,3218884,0
2024,06-2024,22,27,9120171,0
2024,06-2024,22,55,4291845,0
