CERF_ContributionId,ContributionCode,DonorName,RegionName,FiscalYear,DonorType,LatestDate,ActivityDate,ActivityDateType,ContributionStatus,FundType,PooledFundName,PaidDate,PaidAmtLocalCurrency,PaidAmtCurrencyExchangeRate,PaidAmtLocal,PaidAmt,ReceivedComments,PledgeDate,PledgeAmtLocalCurrency,PledgeAmtCurrencyExchangeRate,PledgeAmtLocal,PledgeAmt
1,06-DC-AND-001,Andorra,Southern Europe,2006,Member State,2018-01-16T22:51:30.42,2006-07-31T00:00:00,2,Fully Paid,CERF,CERF,07-2006,EUR,0.79,20000.0,25440.0,check IMIS,07-2006,EUR,0.79,20000.0,0.0
2,06-DC-ATG-002,Antigua and Barbuda,Latin America and the Caribbean,2006,Member State,2018-01-16T22:51:50.833,2006-03-31T00:00:00,2,Fully Paid,CERF,CERF,03-2006,USD,1.0,5000.0,5000.0,check IMIS,03-2006,USD,1.0,5000.0,0.0
3,06-DC-ARM-003,Armenia,Western Asia,2006,Member State,2017-12-07T01:06:59.61,2006-09-05T00:00:00,2,Fully Paid,CERF,CERF,09-2006,USD,1.0,5000.0,5000.0,check IMIS,09-2006,USD,1.0,5000.0,0.0
4,06-DC-AUS-004,Australia,Australia and New Zealand,2006,Member State,2018-01-16T22:52:11.913,2006-03-09T00:00:00,2,Fully Paid,CERF,CERF,05-2006,AUD,1.316,10000000.0,7600000.0,check IMIS,03-2006,AUD,1.32,10000000.0,0.0
5,06-DC-AZE-005,Azerbaijan,Western Asia,2006,Member State,2017-12-07T01:06:13.07,2006-03-29T00:00:00,2,Fully Paid,CERF,CERF,03-2006,USD,1.0,20000.0,20000.0,check IMIS,03-2006,USD,1.0,20000.0,0.0
6,06-DC-BGD-006,Bangladesh,Southern Asia,2006,Member State,2018-01-16T22:52:33.68,2006-07-19T00:00:00,2,Fully Paid,CERF,CERF,07-2006,USD,1.0,5000.0,5000.0,check IMIS,07-2006,USD,1.0,5000.0,0.0
7,06-DC-BEL-007,Belgium,Western Europe,2006,Member State,2018-01-16T22:52:56.127,2006-12-07T00:00:00,2,Fully Paid,CERF,CERF,12-2006,EUR,0.75,2000000.0,2666194.01,check IMIS. $2666194.01,12-2006,EUR,0.75,2000000.0,0.0
8,06-DC-CAN-008,Canada,Northern Americas,2006,Member State,2018-01-16T22:53:19.693,2006-08-30T00:00:00,2,Fully Paid,CERF,CERF,08-2006,CAD,1.11,24300000.0,21941309.26,check IMIS,08-2006,CAD,1.11,24300000.0,0.0
9,06-DC-HRV-009,Croatia,Southern Europe,2006,Member State,2018-01-26T20:47:25.333,2006-02-03T00:00:00,2,Fully Paid,CERF,CERF,03-2006,USD,1.0,5000.0,5000.0,,02-2006,USD,1.0,5000.0,0.0
10,06-DC-CZE-010,Czech Republic,Eastern Europe,2006,Member State,2018-01-16T22:54:18.31,2006-08-18T00:00:00,2,Fully Paid,CERF,CERF,09-2006,CZK,22.06,2500000.0,113301.61,check IMIS,08-2006,CZK,22.06,2500000.0,0.0
11,06-DC-DNK-011,Denmark,Northern Europe,2006,Member State,2018-01-16T22:54:40.247,2006-05-02T00:00:00,2,Fully Paid,CERF,CERF,05-2006,DKK,5.95,50000000.0,8401243.38,check IMIS,05-2006,DKK,5.95,50000000.0,0.0
12,06-DC-PRV-012,Disaster Resource Network,,2006,Private,2018-01-26T20:48:45.713,2007-06-28T00:00:00,2,Fully Paid,CERF,CERF,06-2007,USD,1.0,10000.0,10000.0,,06-2007,USD,1.0,10000.0,0.0
13,06-DC-DJI-013,Djibouti,Eastern Africa,2006,Member State,2018-01-26T20:49:09.177,2006-03-22T00:00:00,2,Fully Paid,CERF,CERF,02-2007,USD,1.0,2000.0,2000.0,,03-2006,USD,1.0,2000.0,0.0
14,06-DC-ECU-014,Ecuador,Latin America and the Caribbean,2006,Member State,2018-01-17T19:05:06.603,2007-01-29T00:00:00,2,Fully Paid,CERF,CERF,01-2007,USD,1.0,20000.0,20000.0,check IMIS,01-2007,USD,1.0,20000.0,0.0
15,06-DC-EGY-015,Egypt,Nothern Africa,2006,Member State,2018-01-26T20:49:28.853,2006-03-02T00:00:00,2,Fully Paid,CERF,CERF,03-2006,USD,1.0,15000.0,15000.0,,03-2006,USD,1.0,15000.0,0.0
