AllocationYear,PooledFundId,PartnerCode,OrganizatinonId,ClusterId,FundId,AllocationSourceId,ProjList,NumbofProj,ClusterBudget
2006,1,2,3,6,1,3,299##97,2,27231270.0
2006,1,3,3,7,1,3,124##300,2,2022300.0
2006,1,4,3,9,1,3,301##71,2,880758.61
2006,1,4,3,11,1,3,72,1,500000.0
2006,1,5,3,6,1,3,14,1,1670298.0
2006,13,2,3,9,1,4,244,1,950000.0
2006,13,3,3,9,1,4,258,1,248775.0
2006,13,4,3,9,1,4,234,1,551225.0
2006,13,5,3,6,1,4,191,1,250000.0
2006,14,11,3,13,1,4,142##216##210,3,1945671.2
2006,14,3,3,7,1,4,250##183,2,1389395.0
2006,14,3,3,9,1,4,251,1,134781.0
2006,14,5,3,6,1,4,132##192,2,600000.0
2006,16,11,3,13,1,3,342,1,500000.0
2006,18,1,3,6,1,4,279,1,149300.0
2006,18,11,3,13,1,3,40##41,2,416149.0
2006,18,11,3,13,1,4,146##211,2,300000.0
2006,18,2,3,6,1,3,98,1,1200000.0
2006,18,2,3,12,1,4,278,1,150000.0
2006,18,3,3,7,1,3,122,1,247170.0
2006,18,3,3,7,1,4,186##252##259,3,732714.0
2006,18,4,3,4,1,3,69,1,369750.0
2006,18,4,3,7,1,4,235##276,2,353134.0
2006,18,4,3,11,1,4,236,1,194723.0
2006,18,4,3,12,1,4,155##237,2,235195.52000000002
2006,18,4,3,13,1,3,70,1,80250.0
2006,18,4,3,13,1,4,156,1,320998.47
2006,18,5,3,6,1,3,12,1,193200.0
2006,18,5,3,6,1,4,277,1,100000.0
2006,18,6,3,7,1,4,139##207##209,3,466450.0
2006,19,11,3,13,1,3,38,1,212868.0
2006,19,11,3,13,1,4,141,1,3487132.0
2006,19,2,3,6,1,3,91,1,800360.0
2006,19,2,3,6,1,4,170,1,998310.0
2006,19,2,3,12,1,4,171,1,1200000.0
2006,19,4,3,3,1,3,65,1,588430.0
2006,19,4,3,3,1,4,157,1,583000.0
2006,19,4,3,7,1,3,66,1,594000.0
2006,19,4,3,11,1,3,67,1,687632.0
2006,19,5,3,6,1,3,13,1,269333.0
2006,22,11,3,13,1,3,304,1,1393140.0
2006,22,3,3,7,1,3,303,1,197162.48
2006,22,7,3,11,1,3,302,1,630636.6
2006,24,11,3,10,1,4,212,1,745100.0
2006,24,11,3,13,1,4,150,1,1000000.0
2006,24,3,3,7,1,3,280##109,2,1006245.0
2006,24,3,3,7,1,4,253##254,2,1181000.0
2006,24,4,3,7,1,4,226,1,319930.0
2006,24,4,3,9,1,4,225,1,112350.0
2006,24,4,3,11,1,4,227,1,391620.0
2006,24,5,3,6,1,3,11,1,249599.0
2006,24,7,3,10,1,3,17,1,272102.0
2006,24,7,3,10,1,4,201,1,250000.0
2006,24,7,3,11,1,3,18,1,224336.0
2006,27,1,3,13,1,4,203##138,2,1849462.0
2006,27,11,3,10,1,4,217##149,2,850000.0
2006,27,11,3,13,1,4,152##215,2,3050538.0
2006,27,2,3,6,1,4,173,1,3000000.0
2006,27,2,3,12,1,4,246##180##177##242##174,5,4224000.0
2006,27,3,3,7,1,4,262##185##260##184,4,3026000.0
2006,27,3,3,9,1,4,261,1,500000.0
2006,27,4,3,7,1,4,164##230##163,3,5920000.0
2006,27,4,3,9,1,4,229##162,2,1800000.0
2006,27,4,3,10,1,4,161##232,2,5100000.0
2006,27,4,3,11,1,4,160##231,2,2700000.0
2006,27,5,3,6,1,4,130##131##194##193,4,5300000.0
2006,27,7,3,13,1,4,199,1,680000.0
2006,28,1,3,12,1,3,25,1,26000.0
2006,28,2,3,6,1,3,79##82,2,500000.0
2006,28,3,3,7,1,3,110##115,2,220000.0
2006,28,4,3,13,1,3,54,1,693000.0
2006,28,5,3,6,1,3,1##6,2,466355.16
2006,35,11,3,6,1,4,213,1,299993.0
2006,35,3,3,7,1,3,116##111,2,1340000.0
2006,35,3,3,7,1,4,255,1,400020.0
2006,35,4,3,7,1,4,218,1,499690.0
2006,35,4,3,11,1,4,220,1,499262.0
2006,35,4,3,13,1,3,55##50,2,2346740.0
2006,35,4,3,13,1,4,219,1,299600.0
2006,35,5,3,6,1,3,2,1,200000.0
2006,36,1,3,12,1,3,29,1,80000.0
2006,36,11,3,13,1,4,151##143##144,3,600000.0
2006,36,2,3,6,1,3,107,1,1790602.0
2006,36,2,3,6,1,4,176,1,400000.0
2006,36,2,3,12,1,3,309##92,2,983086.0
2006,36,3,3,7,1,3,112##310##127##128,4,900000.0
2006,36,3,3,9,1,3,117,1,463600.0
2006,36,4,3,7,1,3,311,1,763093.0
2006,36,4,3,9,1,3,51,1,1155000.0
2006,36,4,3,11,1,3,56##78,2,1876999.9300000002
2006,36,5,3,6,1,3,7##3##308,3,910850.11
2006,36,6,3,7,1,3,31,1,49755.0
2006,43,11,3,13,1,4,153,1,263220.0
2006,43,2,3,6,1,4,178,1,130000.0
2006,43,2,3,12,1,4,239,1,250000.0
2006,43,3,3,7,1,4,247##188,2,248240.0
2006,43,4,3,7,1,4,167,1,139100.0
2006,43,4,3,11,1,4,168##221,2,535000.0
2006,43,5,3,6,1,4,134,1,320000.0
2006,43,6,3,7,1,4,206,1,111989.41
2006,44,1,3,10,1,3,26,1,316800.0
2006,44,2,3,6,1,3,89,1,399030.51
2006,44,4,3,3,1,3,59,1,96288.0
2006,44,4,3,4,1,3,62,1,32679.0
2006,44,4,3,7,1,3,60,1,81698.0
2006,44,4,3,10,1,3,61,1,145590.0
2006,44,4,3,11,1,3,63,1,289445.0
2006,45,12,3,11,1,4,169,1,230000.0
2006,45,3,3,11,1,4,181,1,500000.0
2006,45,7,3,10,1,4,135,1,270000.0
2006,49,11,3,13,1,3,324,1,3998590.0
2006,51,11,3,13,1,3,326,1,1000000.0
2006,52,11,3,13,1,3,290##44,2,5105779.01
2006,52,11,3,13,1,4,145,1,500000.0
2006,52,2,3,6,1,3,80##108##287##84,4,8664726.5
2006,52,2,3,6,1,4,172,1,500000.0
2006,52,2,3,12,1,3,87##334,2,2637750.0
2006,52,3,3,7,1,3,113##289##118,3,1170840.0
2006,52,4,3,7,1,3,285,1,1070000.0
2006,52,4,3,9,1,3,52##282,2,2158579.5
2006,52,4,3,10,1,3,284,1,178690.0
2006,52,4,3,11,1,3,57##73##283,3,2501967.01
2006,52,5,3,6,1,3,8##291##4,3,2598586.13
2006,52,6,3,7,1,3,30,1,100000.0
2006,55,2,3,12,1,3,96##95,2,3000000.0
2006,55,3,3,7,1,3,123,1,1000000.0
2006,55,4,3,11,1,3,68,1,1000000.0
2006,57,3,3,7,1,4,269##248##265##268##263##270##266##267##256##264,10,1550826.97
2006,57,4,3,11,1,4,238,1,1000000.0
2006,57,5,3,6,1,4,198##195,2,995010.0
2006,57,6,3,7,1,4,208,1,437844.0
2006,61,2,3,6,1,4,240,1,1514798.0
2006,61,4,3,9,1,4,222,1,470800.0
2006,63,2,3,6,1,4,243,1,595794.0
2006,63,3,3,9,1,4,257,1,235400.0
2006,63,4,3,9,1,4,228,1,869910.0
2006,63,5,3,6,1,4,189,1,374500.0
2006,67,1,3,11,1,3,331,1,230050.0
2006,67,11,3,7,1,3,306,1,1000498.0
2006,67,2,3,6,1,3,328,1,970546.5
2006,67,4,3,7,1,3,330,1,1550000.0
2006,67,7,3,7,1,3,307,1,52645.0
2006,71,2,3,6,1,3,83,1,5503822.91
2006,73,1,3,2,1,3,294,1,3299302.2
2006,73,3,3,7,1,3,305,1,1530100.0
2006,78,1,3,13,1,3,318,1,350000.0
2006,78,2,3,6,1,3,317,1,497550.0
2006,78,3,3,7,1,3,315,1,357499.84
2006,78,4,3,4,1,3,321,1,350000.0
2006,78,4,3,11,1,3,316,1,450000.0
2006,78,5,3,6,1,3,320,1,100000.0
2006,78,6,3,7,1,3,319,1,243255.0
2006,78,7,3,4,1,3,322,1,250000.0
2006,79,1,3,6,1,4,205,1,161189.0
2006,79,11,3,13,1,4,147##148##214,3,643611.0
2006,79,2,3,6,1,4,175,1,89823.18
2006,79,3,3,7,1,4,187##271,2,313000.0
2006,79,4,3,7,1,4,223,1,214000.0
2006,79,4,3,11,1,4,159##224,2,157000.0
2006,79,5,3,6,1,4,190##133,2,241590.0
2006,79,6,3,7,1,4,140,1,179787.0
2006,80,11,3,13,1,3,37,1,1500000.0
2006,80,2,3,4,1,3,94,1,300000.0
2006,80,2,3,6,1,3,90,1,11500000.0
2006,80,2,3,12,1,3,99##337##336,3,9094400.0
2006,80,3,3,7,1,3,120##121,2,2224699.0
2006,80,4,3,7,1,3,346,1,5400000.0
2006,80,4,3,13,1,3,58,1,4500000.0
2006,80,5,3,6,1,3,10,1,1000000.0
2006,87,1,3,13,1,3,297,1,2080000.0
2006,87,2,3,6,1,3,81##88,2,1352000.0
2006,87,2,3,12,1,3,296##93##85,3,4961825.35
2006,87,2,3,13,1,3,286,1,2837000.0
2006,87,3,3,7,1,3,119##114,2,704540.0
2006,87,3,3,11,1,3,125,1,149800.0
2006,87,4,3,4,1,3,298,1,2000000.0
2006,87,4,3,13,1,3,275,1,1128025.8
2006,87,5,3,6,1,3,5##9##281,3,1395863.58
2006,89,1,3,12,1,3,28,1,191000.0
2006,89,11,3,4,1,3,42,1,1224000.0
2006,89,11,3,10,1,3,313##43,2,1357000.0
2006,89,2,3,6,1,3,312,1,3840985.0
2006,89,2,3,12,1,3,323##100,2,1807461.12
2006,89,3,3,7,1,3,129,1,540550.0
2006,89,5,3,6,1,3,314,1,375570.0
2006,89,6,3,7,1,3,36,1,149800.0
2006,89,7,3,1,1,3,23,1,213000.0
2006,89,7,3,7,1,3,24,1,149800.0
2006,89,7,3,11,1,3,21,1,149800.0
2006,91,11,3,13,1,3,327,1,1000000.0
2006,91,2,3,6,1,3,325,1,177096.0
2006,93,11,3,4,1,3,39,1,1241949.0
2006,93,2,3,6,1,3,86##335,2,2699219.0
2006,93,4,3,11,1,3,64,1,733700.0
2006,93,7,3,4,1,3,20,1,873063.0
2006,106,11,3,13,1,4,154,1,500000.0
2006,107,2,3,6,1,4,241,1,250000.0
2006,107,3,3,7,1,4,182##249,2,499963.38
2006,107,4,3,9,1,4,165,1,250000.0
2006,107,4,3,10,1,4,166,1,250000.0
2006,107,4,3,11,1,4,233,1,250000.0
2006,107,7,3,4,1,4,200##136,2,500000.0
2007,1,2,3,6,1,3,589,1,1075552.0
2007,1,2,3,12,1,3,832,1,323212.0
2007,1,3,3,9,1,3,633,1,432697.0
2007,1,4,3,13,1,3,555,1,762803.0
2007,1,7,3,13,1,3,558,1,2840143.0
2007,3,11,3,11,1,4,430##382,2,711406.0
2007,3,2,3,6,1,4,385,1,2157432.0
2007,3,3,3,7,1,3,413,1,1466435.0
2007,3,3,3,7,1,4,386,1,717970.0
2007,3,4,3,11,1,3,398,1,1750000.0
2007,3,4,3,11,1,4,384,1,500000.0
2007,3,6,3,10,1,4,383,1,107000.0
2007,3,7,3,4,1,4,381,1,306020.0
2007,5,11,3,4,1,3,850,1,299787.0
2007,7,1,3,4,1,3,881,1,4162300.0
2007,7,1,3,13,1,3,782,1,299707.0
2007,7,11,3,10,1,4,388,1,1000000.0
2007,7,2,3,6,1,3,872##911##783,3,14029000.0
2007,7,3,3,7,1,3,786,1,600350.0
2007,7,3,3,9,1,3,880,1,1463011.0
2007,7,4,3,4,1,3,876,1,1583600.0
2007,7,4,3,9,1,3,779##874,2,1285070.0
2007,7,4,3,10,1,3,877,1,50290.0
2007,7,4,3,11,1,3,875,1,556400.0
2007,7,4,3,12,1,3,878,1,250000.0
2007,7,5,3,6,1,3,873##780,2,1337256.0
2007,7,6,3,7,1,3,879##781,2,130112.0
2007,10,1,3,4,1,3,399,1,100000.0
2007,10,2,3,6,1,3,400,1,960000.0
2007,10,3,3,7,1,3,401,1,100000.0
2007,10,4,3,3,1,3,405,1,140000.0
2007,10,4,3,7,1,3,406,1,125000.0
2007,10,4,3,9,1,3,404,1,70000.0
2007,10,4,3,11,1,3,407,1,175000.0
2007,10,5,3,6,1,3,403,1,300000.0
